alert_id,transaction_id,customer_id,alert_ts,fraud_risk_score,priority,fraud_type,decision,alert_status,queue,age_minutes
ALT00000001,TXN000023030,CUST001727,2026-02-01 00:01:25,67.4,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - C,29
ALT00000002,TXN000036649,CUST000109,2026-02-01 00:19:01,67.6,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,175
ALT00000003,TXN000043163,CUST001727,2026-02-01 00:25:36,68.9,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - B,55
ALT00000004,TXN000030629,CUST001466,2026-02-01 00:32:28,90.0,Critical,MULE_TRANSFER,DECLINE,Open,Fraud Ops - A,165
ALT00000005,TXN000024386,CUST000473,2026-02-01 01:33:49,79.9,Medium,IMPOSSIBLE_TRAVEL,CHALLENGE,Investigating,Fraud Ops - C,70
ALT00000006,TXN000049020,CUST000450,2026-02-01 01:38:36,66.0,Medium,NONE,CHALLENGE,Closed,Fraud Ops - B,237
ALT00000007,TXN000002836,CUST001900,2026-02-01 03:46:28,70.7,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,165
ALT00000008,TXN000013576,CUST001742,2026-02-01 04:15:21,74.0,Medium,MULE_TRANSFER,CHALLENGE,Open,Fraud Ops - B,85
ALT00000009,TXN000020617,CUST000518,2026-02-01 04:38:11,58.8,Medium,VELOCITY_ABUSE,APPROVE,Open,Fraud Ops - A,73
ALT00000010,TXN000009197,CUST000166,2026-02-01 09:49:39,62.8,Medium,VELOCITY_ABUSE,APPROVE,Open,Fraud Ops - C,97
ALT00000011,TXN000049129,CUST001530,2026-02-01 11:33:35,50.0,Medium,ATM_CASHOUT,APPROVE,Investigating,Fraud Ops - B,213
ALT00000012,TXN000047340,CUST001726,2026-02-01 18:51:24,68.0,Medium,ATM_CASHOUT,CHALLENGE,Closed,Fraud Ops - A,146
ALT00000013,TXN000005394,CUST000885,2026-02-01 22:57:43,91.0,Critical,CARD_NOT_PRESENT,DECLINE,Open,Fraud Ops - C,210
ALT00000014,TXN000007280,CUST000796,2026-02-02 00:09:32,69.0,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - B,30
ALT00000015,TXN000039879,CUST001765,2026-02-02 00:43:32,69.7,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,76
ALT00000016,TXN000024841,CUST000677,2026-02-02 02:19:13,72.9,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,159
ALT00000017,TXN000014341,CUST001018,2026-02-02 02:43:53,82.7,High,IMPOSSIBLE_TRAVEL,CHALLENGE,Closed,Fraud Ops - C,199
ALT00000018,TXN000025386,CUST000121,2026-02-02 08:32:58,56.0,Medium,ATM_CASHOUT,APPROVE,Open,Fraud Ops - C,212
ALT00000019,TXN000047043,CUST000578,2026-02-02 10:52:31,48.3,Medium,CARD_TESTING,APPROVE,Investigating,Fraud Ops - A,211
ALT00000020,TXN000037327,CUST000442,2026-02-02 12:09:37,83.6,High,ACCOUNT_TAKEOVER,CHALLENGE,Investigating,Fraud Ops - B,173
ALT00000021,TXN000022003,CUST001214,2026-02-02 12:31:12,76.5,Medium,CARD_NOT_PRESENT,CHALLENGE,Open,Fraud Ops - A,101
ALT00000022,TXN000010561,CUST001289,2026-02-02 22:49:41,42.4,Medium,CARD_TESTING,APPROVE,Open,Fraud Ops - C,180
ALT00000023,TXN000012984,CUST001077,2026-02-03 00:07:25,66.4,Medium,NONE,CHALLENGE,Open,Fraud Ops - C,60
ALT00000024,TXN000027626,CUST001627,2026-02-03 03:57:25,60.1,Medium,IMPOSSIBLE_TRAVEL,APPROVE,Investigating,Fraud Ops - B,198
ALT00000025,TXN000025765,CUST001638,2026-02-03 04:43:06,69.3,Medium,NONE,CHALLENGE,Open,Fraud Ops - C,144
ALT00000026,TXN000012533,CUST001548,2026-02-03 09:33:27,52.0,Medium,MERCHANT_COLLUSION,APPROVE,Closed,Fraud Ops - A,224
ALT00000027,TXN000005161,CUST000823,2026-02-03 09:39:59,50.5,Medium,VELOCITY_ABUSE,APPROVE,Investigating,Fraud Ops - A,224
ALT00000028,TXN000020967,CUST001783,2026-02-03 18:47:54,54.0,Medium,MERCHANT_COLLUSION,APPROVE,Investigating,Fraud Ops - A,149
ALT00000029,TXN000040439,CUST000726,2026-02-03 19:00:09,83.2,High,ACCOUNT_TAKEOVER,CHALLENGE,Open,Fraud Ops - A,205
ALT00000030,TXN000041257,CUST000196,2026-02-03 20:20:18,65.6,Medium,IMPOSSIBLE_TRAVEL,CHALLENGE,Investigating,Fraud Ops - C,215
ALT00000031,TXN000035175,CUST001878,2026-02-03 20:23:46,95,Critical,CARD_NOT_PRESENT,DECLINE,Closed,Fraud Ops - B,113
ALT00000032,TXN000001935,CUST001168,2026-02-03 23:57:00,96.0,Critical,CARD_NOT_PRESENT,DECLINE,Closed,Fraud Ops - B,185
ALT00000033,TXN000028790,CUST001193,2026-02-04 00:11:24,73.3,Medium,VELOCITY_ABUSE,CHALLENGE,Open,Fraud Ops - C,168
ALT00000034,TXN000002815,CUST000328,2026-02-04 04:18:10,70.1,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - C,205
