case_id,alert_id,customer_id,opened_ts,closed_ts,case_status,priority,investigator_id,disposition,exposure_inr,confirmed_loss_inr,case_category
CASE0000001,ALT00000005,CUST000473,2026-02-01 01:40:49,,Investigating,Medium,INV003,Under Investigation,357.39,0,Mule account
CASE0000002,ALT00000012,CUST001726,2026-02-01 19:13:24,2026-02-03 02:13:24,Closed,Medium,INV005,Customer Verified,523754.91,0,Other
CASE0000003,ALT00000014,CUST000796,2026-02-02 01:16:32,,Investigating,Medium,INV002,Under Investigation,7484.08,0,Other
CASE0000004,ALT00000017,CUST001018,2026-02-02 03:40:53,2026-02-02 21:40:53,Closed,High,INV004,Customer Verified,8249.67,0,Mule account
CASE0000005,ALT00000019,CUST000578,2026-02-02 11:10:31,,Investigating,Medium,INV004,Under Investigation,55.22,0,Mule account
CASE0000006,ALT00000024,CUST001627,2026-02-03 05:54:25,,Investigating,Medium,INV004,Under Investigation,4466.9,0,UPI scam
CASE0000007,ALT00000026,CUST001548,2026-02-03 10:19:27,2026-02-05 04:19:27,Closed,Medium,INV002,Customer Verified,126357.22,0,Credential compromise
CASE0000008,ALT00000027,CUST000823,2026-02-03 10:42:59,,Investigating,Medium,INV001,Under Investigation,1332.26,0,Mule account
CASE0000009,ALT00000028,CUST001783,2026-02-03 19:24:54,,Investigating,Medium,INV002,Under Investigation,110367.02,0,Credential compromise
CASE0000010,ALT00000030,CUST000196,2026-02-03 20:42:18,,Investigating,Medium,INV004,Under Investigation,4193.45,0,Merchant abuse
CASE0000011,ALT00000032,CUST001168,2026-02-04 00:50:00,2026-02-06 04:50:00,Closed,Critical,INV003,Pending Evidence,2141.87,0,Card misuse
CASE0000012,ALT00000036,CUST001388,2026-02-04 15:28:58,2026-02-05 11:28:58,Closed,Medium,INV001,Pending Evidence,188278.75,0,Card misuse
CASE0000013,ALT00000037,CUST000403,2026-02-04 16:45:24,2026-02-06 07:45:24,Closed,Medium,INV002,Customer Verified,890.8,0,Mule account
CASE0000014,ALT00000042,CUST001111,2026-02-05 01:35:18,2026-02-05 16:35:18,Closed,Medium,INV001,Confirmed Fraud,3196.55,1808.53,Card misuse
CASE0000015,ALT00000049,CUST000752,2026-02-05 14:54:19,2026-02-08 12:54:19,Closed,Medium,INV005,Pending Evidence,52990.95,0,Other
CASE0000016,ALT00000055,CUST000377,2026-02-06 06:24:51,2026-02-06 18:24:51,Closed,Medium,INV001,False Positive,2550.13,0,Card misuse
CASE0000017,ALT00000059,CUST000859,2026-02-06 08:07:24,2026-02-07 00:07:24,Closed,Medium,INV002,Customer Verified,51.48,0,Card misuse
CASE0000018,ALT00000060,CUST000258,2026-02-06 09:29:52,2026-02-08 07:29:52,Closed,Medium,INV002,Confirmed Fraud,910.16,735.86,Merchant abuse
CASE0000019,ALT00000070,CUST000409,2026-02-08 03:02:19,,Investigating,Medium,INV001,Under Investigation,822.7,0,Mule account
CASE0000020,ALT00000071,CUST001231,2026-02-08 03:26:56,,Investigating,High,INV003,Under Investigation,7056.87,0,Card misuse
CASE0000021,ALT00000074,CUST000544,2026-02-08 03:47:36,2026-02-10 18:47:36,Closed,Medium,INV001,False Positive,2532.99,0,Other
CASE0000022,ALT00000078,CUST001574,2026-02-08 06:57:24,2026-02-11 03:57:24,Closed,Medium,INV004,Pending Evidence,96585.82,0,Merchant abuse
CASE0000023,ALT00000079,CUST001304,2026-02-08 06:30:37,,Investigating,Medium,INV003,Under Investigation,163805.13,0,Merchant abuse
CASE0000024,ALT00000080,CUST001971,2026-02-08 18:44:24,,Investigating,High,INV004,Under Investigation,3966.36,0,UPI scam
CASE0000025,ALT00000081,CUST001830,2026-02-08 19:36:34,2026-02-10 11:36:34,Closed,Medium,INV002,Pending Evidence,70216.01,0,Merchant abuse
CASE0000026,ALT00000086,CUST000367,2026-02-09 04:40:57,2026-02-10 14:40:57,Closed,Medium,INV002,Customer Verified,5595.1,0,Merchant abuse
CASE0000027,ALT00000088,CUST000046,2026-02-09 07:22:19,,Investigating,High,INV001,Under Investigation,501860.37,0,Mule account
CASE0000028,ALT00000089,CUST000274,2026-02-09 13:10:53,,Investigating,Medium,INV001,Under Investigation,489158.8,0,Card misuse
CASE0000029,ALT00000092,CUST001141,2026-02-10 03:38:25,2026-02-10 08:38:25,Closed,Medium,INV004,Customer Verified,1071.73,0,UPI scam
CASE0000030,ALT00000103,CUST001601,2026-02-11 01:37:46,2026-02-13 10:37:46,Closed,Medium,INV004,Pending Evidence,4547.24,0,Credential compromise
CASE0000031,ALT00000109,CUST000976,2026-02-11 21:39:56,2026-02-13 19:39:56,Closed,Critical,INV001,Pending Evidence,1210678.2,0,UPI scam
CASE0000032,ALT00000112,CUST000430,2026-02-12 05:14:30,2026-02-12 22:14:30,Closed,Medium,INV005,Customer Verified,28436.06,0,UPI scam
CASE0000033,ALT00000122,CUST001890,2026-02-13 23:30:59,2026-02-15 12:30:59,Closed,Critical,INV004,Confirmed Fraud,197457.13,94955.44,Merchant abuse
CASE0000034,ALT00000125,CUST001956,2026-02-14 03:46:08,,Investigating,Medium,INV002,Under Investigation,4240.58,0,Merchant abuse
CASE0000035,ALT00000127,CUST000582,2026-02-14 11:01:43,2026-02-16 17:01:43,Closed,Medium,INV004,Confirmed Fraud,4264.83,1845.23,UPI scam
CASE0000036,ALT00000128,CUST001160,2026-02-14 14:37:24,2026-02-16 01:37:24,Closed,Medium,INV001,False Positive,212625.68,0,Mule account
CASE0000037,ALT00000133,CUST000789,2026-02-15 03:30:15,,Investigating,Medium,INV005,Under Investigation,7662.56,0,Other
CASE0000038,ALT00000139,CUST001346,2026-02-16 03:03:42,2026-02-17 01:03:42,Closed,Medium,INV002,Customer Verified,7808.43,0,Card misuse
CASE0000039,ALT00000141,CUST000912,2026-02-16 02:11:34,2026-02-17 20:11:34,Closed,Medium,INV002,Customer Verified,3828.7,0,Credential compromise
CASE0000040,ALT00000158,CUST001227,2026-02-17 13:49:19,2026-02-17 20:49:19,Closed,Medium,INV003,Customer Verified,373306.92,0,Other
CASE0000041,ALT00000159,CUST001776,2026-02-18 01:03:47,2026-02-19 22:03:47,Closed,Medium,INV004,Confirmed Fraud,1723.96,864.23,Credential compromise
