device_id,customer_id,device_type,last_ip_address,device_trust_status,first_seen_date
DEV00000101,CUST000001,Android,10.1.0.144,Trusted,2024-01-29
DEV00000102,CUST000001,POS,10.1.1.108,Trusted,2024-10-29
DEV00000103,CUST000001,POS,10.1.2.72,Trusted,2023-12-16
DEV00000201,CUST000002,Android,10.2.0.250,New,2025-11-12
DEV00000202,CUST000002,POS,10.2.1.76,Known,2024-06-19
DEV00000203,CUST000002,iOS,10.2.2.181,Trusted,2025-12-16
DEV00000301,CUST000003,POS,10.3.0.187,Trusted,2025-08-17
DEV00000401,CUST000004,ATM,10.4.0.37,Known,2025-09-11
DEV00000402,CUST000004,iOS,10.4.1.191,Known,2023-12-29
DEV00000501,CUST000005,ATM,10.5.0.153,New,2024-08-08
DEV00000502,CUST000005,Windows,10.5.1.249,Trusted,2024-03-06
DEV00000601,CUST000006,POS,10.6.0.156,Trusted,2025-08-28
DEV00000602,CUST000006,Windows,10.6.1.196,Trusted,2024-07-28
DEV00000701,CUST000007,POS,10.7.0.197,Trusted,2025-09-22
DEV00000801,CUST000008,ATM,10.8.0.31,Trusted,2025-06-15
DEV00000802,CUST000008,Android,10.8.1.87,Trusted,2024-06-08
DEV00000803,CUST000008,POS,10.8.2.59,Trusted,2026-01-24
DEV00000901,CUST000009,iOS,10.9.0.201,New,2024-12-11
DEV00000902,CUST000009,iOS,10.9.1.25,Trusted,2024-03-28
DEV00001001,CUST000010,POS,10.10.0.115,Trusted,2024-11-25
DEV00001101,CUST000011,ATM,10.11.0.125,New,2025-06-27
DEV00001201,CUST000012,iOS,10.12.0.248,Trusted,2024-06-17
DEV00001202,CUST000012,POS,10.12.1.16,Known,2025-12-04
DEV00001301,CUST000013,POS,10.13.0.134,Known,2025-05-09
DEV00001302,CUST000013,iOS,10.13.1.172,Known,2025-06-01
DEV00001303,CUST000013,Windows,10.13.2.102,Trusted,2024-03-15
DEV00001401,CUST000014,Windows,10.14.0.41,New,2024-07-24
DEV00001402,CUST000014,Windows,10.14.1.157,Trusted,2024-03-19
DEV00001501,CUST000015,POS,10.15.0.126,Known,2025-12-10
DEV00001502,CUST000015,Android,10.15.1.163,New,2025-04-23
DEV00001601,CUST000016,POS,10.16.0.142,Trusted,2024-11-17
DEV00001602,CUST000016,iOS,10.16.1.11,Known,2025-01-23
DEV00001701,CUST000017,Windows,10.17.0.201,New,2024-03-17
DEV00001801,CUST000018,ATM,10.18.0.85,Known,2025-11-21
DEV00001901,CUST000019,Android,10.19.0.99,Trusted,2025-05-16
DEV00001902,CUST000019,Android,10.19.1.182,New,2026-01-30
DEV00001903,CUST000019,POS,10.19.2.237,Trusted,2025-01-24
DEV00002001,CUST000020,iOS,10.20.0.50,New,2024-03-22
DEV00002002,CUST000020,ATM,10.20.1.174,Trusted,2024-05-11
DEV00002003,CUST000020,POS,10.20.2.78,New,2024-07-19
DEV00002101,CUST000021,POS,10.21.0.86,Trusted,2023-12-24
DEV00002102,CUST000021,iOS,10.21.1.173,Known,2025-06-15
DEV00002103,CUST000021,iOS,10.21.2.38,Trusted,2025-12-15
DEV00002201,CUST000022,ATM,10.22.0.57,Trusted,2024-02-19
DEV00002301,CUST000023,ATM,10.23.0.116,Known,2023-12-24
DEV00002401,CUST000024,iOS,10.24.0.60,New,2024-02-21
DEV00002501,CUST000025,Android,10.25.0.242,Known,2025-04-01
DEV00002502,CUST000025,ATM,10.25.1.219,New,2024-07-29
DEV00002601,CUST000026,Android,10.26.0.233,New,2024-06-04
DEV00002602,CUST000026,POS,10.26.1.170,Trusted,2025-11-07
DEV00002603,CUST000026,ATM,10.26.2.35,New,2025-07-29
DEV00002701,CUST000027,Android,10.27.0.244,Known,2025-06-16
DEV00002702,CUST000027,Android,10.27.1.200,Trusted,2023-12-21
DEV00002703,CUST000027,Android,10.27.2.244,Trusted,2025-07-11
DEV00002801,CUST000028,POS,10.28.0.7,Known,2024-06-21
