fraud_event_id,transaction_id,fraud_type,detection_method,fraud_risk_score,ground_truth_status,estimated_loss_inr,detected_ts,primary_reason
FE0000001,TXN000000126,MULE_TRANSFER,ML,70.0,False Positive,254861.4,2026-06-12 01:00:28,Mule network
FE0000002,TXN000000143,CARD_TESTING,Hybrid,46.8,Confirmed Fraud,50.77,2026-03-16 19:46:33,Geographic anomaly
FE0000003,TXN000000192,ACCOUNT_TAKEOVER,Hybrid,89.9,Confirmed Fraud,280600.47,2026-07-08 19:39:07,Mule network
FE0000004,TXN000000232,CARD_TESTING,Hybrid,64.1,Confirmed Fraud,14.58,2026-07-29 04:34:35,Amount deviation
FE0000005,TXN000000377,MERCHANT_COLLUSION,Hybrid,54.0,Under Review,64220.07,2026-03-29 23:17:50,Device anomaly
FE0000006,TXN000000468,MERCHANT_COLLUSION,ML,88.0,Confirmed Fraud,50425.36,2026-06-21 01:33:40,Device anomaly
FE0000007,TXN000000560,ATM_CASHOUT,Rule,52.0,Under Review,524243.13,2026-06-10 21:53:09,Device anomaly
FE0000008,TXN000000577,CARD_TESTING,Rule,80.2,False Positive,68.93,2026-02-21 03:35:13,Mule network
FE0000009,TXN000000639,IMPOSSIBLE_TRAVEL,Hybrid,95.5,Confirmed Fraud,702.0,2026-06-14 07:11:33,Amount deviation
FE0000010,TXN000000698,CARD_TESTING,Hybrid,48.1,False Positive,20.37,2026-07-15 06:03:09,High velocity
FE0000011,TXN000000714,CARD_TESTING,Rule,48.0,False Positive,100.27,2026-04-14 23:34:21,Merchant anomaly
FE0000012,TXN000000726,MERCHANT_COLLUSION,Hybrid,52.0,Under Review,23281.73,2026-05-03 11:14:02,Merchant anomaly
FE0000013,TXN000000730,CARD_NOT_PRESENT,Rule,73.0,Under Review,272.85,2026-06-15 10:49:32,Device anomaly
FE0000014,TXN000000732,IMPOSSIBLE_TRAVEL,Rule,53.5,Confirmed Fraud,621.04,2026-03-06 12:56:22,High velocity
FE0000015,TXN000000754,VELOCITY_ABUSE,Hybrid,49.8,Under Review,1399.43,2026-03-28 08:51:18,Mule network
FE0000016,TXN000000825,ACCOUNT_TAKEOVER,Hybrid,94.6,Confirmed Fraud,328233.48,2026-05-16 06:17:28,High velocity
FE0000017,TXN000000834,MERCHANT_COLLUSION,ML,48.0,Under Review,132648.75,2026-05-17 21:10:57,Geographic anomaly
FE0000018,TXN000000875,CARD_NOT_PRESENT,Hybrid,91.7,Confirmed Fraud,785.93,2026-04-29 11:01:15,Merchant anomaly
FE0000019,TXN000000899,VELOCITY_ABUSE,ML,52.0,Under Review,703.48,2026-04-01 23:57:38,Device anomaly
FE0000020,TXN000000936,VELOCITY_ABUSE,Rule,81.4,False Positive,1071.51,2026-07-07 06:17:45,Merchant anomaly
FE0000021,TXN000001014,IMPOSSIBLE_TRAVEL,ML,60.0,Confirmed Fraud,132.06,2026-05-03 00:13:38,Merchant anomaly
FE0000022,TXN000001042,CARD_NOT_PRESENT,Hybrid,78.5,False Positive,224.6,2026-07-14 19:50:16,Device anomaly
FE0000023,TXN000001063,MULE_TRANSFER,Rule,56.0,Confirmed Fraud,285958.39,2026-04-19 23:39:15,Device anomaly
FE0000024,TXN000001131,ACCOUNT_TAKEOVER,Rule,85.0,Confirmed Fraud,444406.01,2026-06-29 15:59:18,Device anomaly
FE0000025,TXN000001233,VELOCITY_ABUSE,ML,63.5,False Positive,474.32,2026-05-13 00:55:01,High velocity
FE0000026,TXN000001239,ATM_CASHOUT,Rule,52.0,Confirmed Fraud,467808.06,2026-04-17 09:48:17,Merchant anomaly
FE0000027,TXN000001368,CARD_NOT_PRESENT,Rule,92.2,False Positive,5650.22,2026-03-29 06:52:26,Amount deviation
FE0000028,TXN000001411,MULE_TRANSFER,Rule,92.0,Under Review,130727.56,2026-04-23 03:02:08,Geographic anomaly
FE0000029,TXN000001441,MULE_TRANSFER,Hybrid,48.0,Under Review,64700.23,2026-03-25 11:54:57,Amount deviation
FE0000030,TXN000001481,ACCOUNT_TAKEOVER,ML,91.2,Confirmed Fraud,282489.78,2026-04-10 21:07:10,Amount deviation
FE0000031,TXN000001485,CARD_TESTING,ML,40.3,Confirmed Fraud,118.85,2026-04-13 19:18:25,High velocity
FE0000032,TXN000001529,MULE_TRANSFER,ML,54.0,Under Review,83297.28,2026-07-26 17:11:56,Mule network
FE0000033,TXN000001558,CARD_NOT_PRESENT,Hybrid,88.4,Confirmed Fraud,164.51,2026-06-11 04:35:26,High velocity
FE0000034,TXN000001561,VELOCITY_ABUSE,Rule,50.5,False Positive,991.9,2026-05-27 14:19:13,Geographic anomaly
FE0000035,TXN000001589,CARD_TESTING,ML,73.9,False Positive,46.71,2026-06-06 00:30:26,Geographic anomaly
FE0000036,TXN000001629,MERCHANT_COLLUSION,Hybrid,54.0,Confirmed Fraud,34524.69,2026-04-12 17:44:03,Amount deviation
FE0000037,TXN000001652,VELOCITY_ABUSE,Hybrid,71.8,Confirmed Fraud,1058.01,2026-05-16 08:31:06,Amount deviation
FE0000038,TXN000001654,ACCOUNT_TAKEOVER,Hybrid,73.7,Under Review,30670.5,2026-03-10 18:36:55,Geographic anomaly
FE0000039,TXN000001723,MULE_TRANSFER,Hybrid,66.0,Under Review,387670.26,2026-04-24 01:13:30,Merchant anomaly
FE0000040,TXN000001806,MULE_TRANSFER,Hybrid,70.0,False Positive,208893.83,2026-07-05 23:22:23,Geographic anomaly
FE0000041,TXN000001829,ACCOUNT_TAKEOVER,Hybrid,93.3,False Positive,146971.15,2026-05-12 23:03:16,Merchant anomaly
FE0000042,TXN000001935,CARD_NOT_PRESENT,Hybrid,96.0,Under Review,1930.9,2026-02-03 23:57:00,Device anomaly
FE0000043,TXN000001946,CARD_TESTING,Rule,48.5,False Positive,139.37,2026-04-21 21:44:56,Amount deviation
FE0000044,TXN000001994,MULE_TRANSFER,Rule,94.0,Confirmed Fraud,82564.13,2026-04-07 02:36:50,Mule network
FE0000045,TXN000002070,CARD_TESTING,ML,49.5,Under Review,39.89,2026-04-06 16:36:05,Merchant anomaly
FE0000046,TXN000002164,IMPOSSIBLE_TRAVEL,ML,43.6,Confirmed Fraud,1045.2,2026-04-11 08:41:29,Merchant anomaly
FE0000047,TXN000002200,CARD_TESTING,ML,66.1,False Positive,20.63,2026-05-28 04:27:30,High velocity
FE0000048,TXN000002224,CARD_NOT_PRESENT,Rule,78.3,Confirmed Fraud,1408.26,2026-07-26 11:45:37,Geographic anomaly
FE0000049,TXN000002234,ACCOUNT_TAKEOVER,Hybrid,90.6,Confirmed Fraud,66605.48,2026-07-24 20:39:58,High velocity
FE0000050,TXN000002399,ACCOUNT_TAKEOVER,Rule,85.0,Under Review,221822.92,2026-06-16 23:02:39,Merchant anomaly
FE0000051,TXN000002425,MULE_TRANSFER,ML,72.0,False Positive,360814.44,2026-06-11 18:52:00,Device anomaly
FE0000052,TXN000002467,IMPOSSIBLE_TRAVEL,Rule,66.0,Confirmed Fraud,2677.76,2026-04-15 03:21:01,Mule network
FE0000053,TXN000002572,ATM_CASHOUT,Rule,54.0,False Positive,203839.83,2026-02-26 17:41:26,Geographic anomaly
FE0000054,TXN000002710,ACCOUNT_TAKEOVER,ML,99,Confirmed Fraud,50177.61,2026-06-08 04:45:40,Mule network
FE0000055,TXN000002724,IMPOSSIBLE_TRAVEL,Rule,97,Confirmed Fraud,3805.62,2026-05-19 21:50:37,Merchant anomaly
FE0000056,TXN000002973,MERCHANT_COLLUSION,Rule,54.0,Confirmed Fraud,74029.86,2026-03-27 13:16:19,Amount deviation
FE0000057,TXN000003059,MULE_TRANSFER,Rule,68.0,Confirmed Fraud,154790.38,2026-07-27 13:30:44,Amount deviation
FE0000058,TXN000003084,VELOCITY_ABUSE,Hybrid,48.8,False Positive,345.14,2026-03-25 07:29:12,Mule network
FE0000059,TXN000003126,MERCHANT_COLLUSION,Hybrid,54.0,Confirmed Fraud,61159.76,2026-04-01 13:24:16,High velocity
FE0000060,TXN000003145,CARD_TESTING,Hybrid,64.2,Confirmed Fraud,25.38,2026-04-24 18:36:11,High velocity
FE0000061,TXN000003286,CARD_NOT_PRESENT,ML,83.6,Confirmed Fraud,726.3,2026-05-31 12:05:38,Geographic anomaly
FE0000062,TXN000003306,VELOCITY_ABUSE,ML,68.4,Confirmed Fraud,668.11,2026-04-25 02:16:22,Device anomaly
FE0000063,TXN000003550,CARD_NOT_PRESENT,ML,81.4,False Positive,1011.1,2026-05-02 05:25:08,High velocity
FE0000064,TXN000003603,ATM_CASHOUT,Hybrid,54.0,False Positive,197401.31,2026-03-18 21:39:39,Amount deviation
FE0000065,TXN000003626,VELOCITY_ABUSE,Rule,69.9,Confirmed Fraud,1062.57,2026-03-10 01:58:12,Merchant anomaly
FE0000066,TXN000003646,ATM_CASHOUT,Rule,54.0,False Positive,66491.7,2026-05-27 13:13:12,High velocity
FE0000067,TXN000003669,VELOCITY_ABUSE,Hybrid,49.1,Under Review,814.74,2026-03-03 14:37:13,Merchant anomaly
FE0000068,TXN000003711,CARD_TESTING,Hybrid,68.2,Under Review,10.92,2026-03-09 17:08:58,High velocity
FE0000069,TXN000003729,CARD_TESTING,ML,49.2,Confirmed Fraud,80.54,2026-04-16 06:01:59,Device anomaly
FE0000070,TXN000003800,CARD_NOT_PRESENT,ML,99,False Positive,16856.26,2026-03-03 04:30:13,Geographic anomaly
FE0000071,TXN000004002,VELOCITY_ABUSE,Rule,97.2,Confirmed Fraud,3820.5,2026-03-26 00:03:22,Geographic anomaly
FE0000072,TXN000004070,MERCHANT_COLLUSION,Hybrid,88.0,Confirmed Fraud,126315.97,2026-06-26 04:55:25,Amount deviation
FE0000073,TXN000004207,IMPOSSIBLE_TRAVEL,Hybrid,71.3,False Positive,1167.61,2026-05-02 17:14:40,Mule network
FE0000074,TXN000004239,VELOCITY_ABUSE,ML,70.8,Under Review,283.73,2026-06-25 02:07:56,Merchant anomaly
FE0000075,TXN000004250,MULE_TRANSFER,Hybrid,52.0,Confirmed Fraud,116065.99,2026-05-01 18:10:52,Device anomaly
FE0000076,TXN000004265,VELOCITY_ABUSE,Rule,67.7,Confirmed Fraud,2939.07,2026-03-18 15:51:02,Geographic anomaly
FE0000077,TXN000004362,CARD_NOT_PRESENT,ML,81.3,Confirmed Fraud,369.18,2026-03-10 02:03:37,High velocity
FE0000078,TXN000004372,MULE_TRANSFER,ML,50.0,False Positive,416138.09,2026-05-13 23:46:12,Amount deviation
FE0000079,TXN000004411,MERCHANT_COLLUSION,Hybrid,76.0,Under Review,76391.89,2026-06-22 20:48:03,Mule network
FE0000080,TXN000004475,IMPOSSIBLE_TRAVEL,ML,65.0,False Positive,383.28,2026-03-29 05:01:43,Amount deviation
FE0000081,TXN000004500,MULE_TRANSFER,Rule,68.0,Confirmed Fraud,414805.18,2026-02-18 23:10:53,Amount deviation
FE0000082,TXN000004588,MERCHANT_COLLUSION,Rule,48.0,False Positive,133845.04,2026-02-04 15:10:58,Mule network
FE0000083,TXN000004662,VELOCITY_ABUSE,ML,82.1,Confirmed Fraud,5256.99,2026-02-08 01:47:56,Merchant anomaly
FE0000084,TXN000004691,MULE_TRANSFER,ML,68.0,Confirmed Fraud,188673.21,2026-07-12 18:00:58,Device anomaly
FE0000085,TXN000004861,MERCHANT_COLLUSION,Hybrid,54.0,Confirmed Fraud,19751.26,2026-03-24 23:24:19,Mule network
FE0000086,TXN000004911,MULE_TRANSFER,Hybrid,54.0,Confirmed Fraud,85935.15,2026-06-24 23:33:10,Amount deviation
FE0000087,TXN000005008,MULE_TRANSFER,Rule,52.0,Under Review,281449.41,2026-05-07 13:34:15,Mule network
FE0000088,TXN000005021,IMPOSSIBLE_TRAVEL,ML,79.1,Under Review,417.06,2026-03-13 20:59:28,Mule network
FE0000089,TXN000005100,ATM_CASHOUT,Rule,48.0,Under Review,339375.06,2026-03-31 21:13:42,High velocity
FE0000090,TXN000005128,CARD_TESTING,Rule,68.2,Under Review,18.52,2026-03-09 14:07:29,Merchant anomaly
FE0000091,TXN000005161,VELOCITY_ABUSE,Hybrid,50.5,Confirmed Fraud,632.16,2026-02-03 09:39:59,Device anomaly
FE0000092,TXN000005168,MULE_TRANSFER,ML,48.0,False Positive,84867.33,2026-02-11 05:17:35,Amount deviation
FE0000093,TXN000005185,ATM_CASHOUT,ML,54.0,Confirmed Fraud,181694.74,2026-07-26 13:31:10,Mule network
FE0000094,TXN000005200,VELOCITY_ABUSE,ML,56.5,Under Review,394.44,2026-03-09 06:55:52,Geographic anomaly
FE0000095,TXN000005230,IMPOSSIBLE_TRAVEL,Rule,63.6,Confirmed Fraud,558.65,2026-02-06 08:22:52,Device anomaly
FE0000096,TXN000005299,ATM_CASHOUT,Hybrid,68.0,False Positive,313177.24,2026-02-28 03:57:45,Merchant anomaly
FE0000097,TXN000005349,IMPOSSIBLE_TRAVEL,Rule,74.9,Under Review,647.68,2026-04-16 10:46:20,Merchant anomaly
FE0000098,TXN000005390,ATM_CASHOUT,Hybrid,70.0,Confirmed Fraud,94202.25,2026-03-29 09:49:19,Merchant anomaly
FE0000099,TXN000005394,CARD_NOT_PRESENT,ML,91.0,Confirmed Fraud,997.13,2026-02-01 22:57:43,Geographic anomaly
FE0000100,TXN000005450,CARD_NOT_PRESENT,ML,67.9,False Positive,102.1,2026-03-26 15:49:02,High velocity
FE0000101,TXN000005495,MERCHANT_COLLUSION,Rule,68.0,Confirmed Fraud,66886.68,2026-07-09 11:06:22,Device anomaly
FE0000102,TXN000005502,CARD_NOT_PRESENT,ML,62.3,Confirmed Fraud,520.81,2026-05-18 16:16:52,Device anomaly
FE0000103,TXN000005526,VELOCITY_ABUSE,Hybrid,54.4,False Positive,571.16,2026-07-23 19:38:35,High velocity
FE0000104,TXN000005620,CARD_NOT_PRESENT,Hybrid,77.0,Confirmed Fraud,706.01,2026-07-14 21:53:41,Merchant anomaly
FE0000105,TXN000005636,ACCOUNT_TAKEOVER,Rule,84.5,False Positive,133036.84,2026-03-03 13:33:05,Amount deviation
FE0000106,TXN000005750,ATM_CASHOUT,Hybrid,70.0,Confirmed Fraud,145786.01,2026-02-24 13:05:38,Geographic anomaly
FE0000107,TXN000005961,VELOCITY_ABUSE,ML,43.3,Confirmed Fraud,2045.8,2026-02-18 12:47:39,Amount deviation
FE0000108,TXN000006019,ATM_CASHOUT,Rule,74.0,Confirmed Fraud,226540.83,2026-02-06 05:09:14,Mule network
FE0000109,TXN000006152,MERCHANT_COLLUSION,Rule,88.0,False Positive,51921.49,2026-03-14 03:37:47,High velocity
FE0000110,TXN000006268,VELOCITY_ABUSE,Rule,69.5,Under Review,214.84,2026-07-16 13:05:19,Amount deviation
FE0000111,TXN000006349,ACCOUNT_TAKEOVER,Rule,89.3,Confirmed Fraud,267633.36,2026-05-18 20:10:25,Merchant anomaly
FE0000112,TXN000006374,ATM_CASHOUT,Hybrid,56.0,Under Review,419821.15,2026-04-05 05:35:56,Mule network
FE0000113,TXN000006424,MERCHANT_COLLUSION,Rule,74.0,Confirmed Fraud,56164.29,2026-07-17 10:43:12,Mule network
FE0000114,TXN000006449,ATM_CASHOUT,Hybrid,74.0,False Positive,578273.44,2026-03-26 22:37:18,Geographic anomaly
FE0000115,TXN000006549,VELOCITY_ABUSE,ML,82.7,Under Review,14141.11,2026-03-10 23:49:46,Amount deviation
FE0000116,TXN000006790,CARD_NOT_PRESENT,Hybrid,78.3,False Positive,3244.86,2026-03-11 13:03:36,High velocity
FE0000117,TXN000006886,ACCOUNT_TAKEOVER,Rule,99,Confirmed Fraud,209366.46,2026-03-22 03:36:25,Geographic anomaly
FE0000118,TXN000007017,CARD_NOT_PRESENT,Hybrid,69.8,False Positive,611.01,2026-05-15 11:27:18,Mule network
FE0000119,TXN000007059,MERCHANT_COLLUSION,Rule,56.0,Under Review,105354.43,2026-03-19 16:50:44,Amount deviation
FE0000120,TXN000007142,ATM_CASHOUT,Rule,56.0,False Positive,96231.0,2026-02-28 21:44:38,Device anomaly
FE0000121,TXN000007233,VELOCITY_ABUSE,ML,46.8,Confirmed Fraud,760.39,2026-04-25 23:46:04,Mule network
FE0000122,TXN000007448,MERCHANT_COLLUSION,ML,48.0,Confirmed Fraud,82557.26,2026-07-08 18:15:00,Amount deviation
FE0000123,TXN000007514,CARD_TESTING,Rule,44.8,Confirmed Fraud,79.97,2026-07-22 14:55:32,Mule network
FE0000124,TXN000007525,ATM_CASHOUT,ML,48.0,Confirmed Fraud,278500.6,2026-05-18 23:05:02,Mule network
FE0000125,TXN000007614,IMPOSSIBLE_TRAVEL,Hybrid,62.0,Under Review,1219.76,2026-05-11 11:11:18,Mule network
FE0000126,TXN000007633,IMPOSSIBLE_TRAVEL,Rule,70.1,Confirmed Fraud,30138.23,2026-03-18 09:14:24,Geographic anomaly
FE0000127,TXN000007661,IMPOSSIBLE_TRAVEL,ML,53.4,Confirmed Fraud,141.15,2026-04-29 23:08:15,Mule network
FE0000128,TXN000007694,MERCHANT_COLLUSION,ML,66.0,False Positive,43686.42,2026-02-26 04:04:17,Device anomaly
FE0000129,TXN000007786,VELOCITY_ABUSE,Rule,84.0,Confirmed Fraud,1297.75,2026-05-29 00:13:45,High velocity
FE0000130,TXN000007827,ATM_CASHOUT,Rule,74.0,Under Review,518429.51,2026-04-21 03:10:03,Geographic anomaly
FE0000131,TXN000007866,IMPOSSIBLE_TRAVEL,Rule,55.6,False Positive,3166.55,2026-07-23 14:29:06,Merchant anomaly
FE0000132,TXN000007878,ATM_CASHOUT,Rule,52.0,Confirmed Fraud,256036.94,2026-05-01 21:36:34,Device anomaly
FE0000133,TXN000007884,VELOCITY_ABUSE,Hybrid,47.9,Confirmed Fraud,591.5,2026-03-13 19:24:40,Mule network
FE0000134,TXN000007932,IMPOSSIBLE_TRAVEL,ML,55.9,False Positive,173.29,2026-07-12 20:52:32,Amount deviation
FE0000135,TXN000007989,MULE_TRANSFER,Hybrid,50.0,Under Review,90610.63,2026-07-22 09:58:05,Mule network
FE0000136,TXN000008022,MERCHANT_COLLUSION,Hybrid,52.0,Confirmed Fraud,73475.18,2026-02-13 18:01:23,Geographic anomaly
FE0000137,TXN000008037,VELOCITY_ABUSE,ML,78.0,False Positive,26716.47,2026-06-24 00:06:05,High velocity
FE0000138,TXN000008100,VELOCITY_ABUSE,ML,54.6,Under Review,190.04,2026-04-24 13:49:06,High velocity
FE0000139,TXN000008101,CARD_TESTING,Hybrid,48.1,Under Review,8.76,2026-02-10 08:30:14,Mule network
FE0000140,TXN000008126,ACCOUNT_TAKEOVER,Rule,99,Confirmed Fraud,82108.11,2026-07-23 17:14:55,High velocity
FE0000141,TXN000008154,MULE_TRANSFER,Rule,76.0,Under Review,234977.26,2026-07-24 11:17:22,Device anomaly
