business_date,channel,city,transaction_count,transaction_amount_inr,fraud_count,fraud_amount_inr,fraud_rate_pct,decline_count,challenge_count,avg_risk_score
2026-02-01,ATM,Ahmedabad,2,8732.47,0,0.0,0.0,0,0,29.4
2026-02-01,ATM,Bengaluru,1,3762.48,0,0.0,0.0,0,0,25.4
2026-02-01,ATM,Chennai,1,15317.55,0,0.0,0.0,0,0,31.0
2026-02-01,ATM,Delhi,1,965.42,0,0.0,0.0,0,0,15.7
2026-02-01,ATM,Hyderabad,8,54516.8,0,0.0,0.0,0,0,39.91
2026-02-01,ATM,Jaipur,4,17707.82,0,0.0,0.0,0,0,24.4
2026-02-01,ATM,Kochi,7,53336.84,0,0.0,0.0,0,0,38.23
2026-02-01,ATM,Kolkata,1,2682.13,0,0.0,0.0,0,0,36.3
2026-02-01,ATM,Mumbai,3,8949.67,0,0.0,0.0,0,0,37.87
2026-02-01,ATM,Pune,3,7895.28,0,0.0,0.0,0,0,33.17
2026-02-01,Branch,Ahmedabad,2,914.62,0,0.0,0.0,0,0,21.9
2026-02-01,Branch,Bengaluru,3,6177.32,0,0.0,0.0,0,0,25.0
2026-02-01,Branch,Delhi,2,7528.74,0,0.0,0.0,0,0,29.3
2026-02-01,Branch,Hyderabad,2,2521.92,0,0.0,0.0,0,0,27.0
2026-02-01,Branch,Jaipur,1,725.77,0,0.0,0.0,0,0,17.6
2026-02-01,Branch,Kolkata,1,854.45,0,0.0,0.0,0,0,15.5
2026-02-01,Branch,Pune,2,5285.77,0,0.0,0.0,0,0,49.25
2026-02-01,IMPS,Ahmedabad,3,11056.56,0,0.0,0.0,0,0,34.6
2026-02-01,IMPS,Bengaluru,3,6820.65,0,0.0,0.0,0,0,21.73
2026-02-01,IMPS,Chennai,1,366.7,1,366.7,100.0,0,0,62.8
2026-02-01,IMPS,Delhi,3,6447.07,0,0.0,0.0,0,0,17.73
2026-02-01,IMPS,Hyderabad,3,3083.61,0,0.0,0.0,0,0,13.73
2026-02-01,IMPS,Jaipur,2,355863.16,1,355226.25,50.0,1,0,48.5
2026-02-01,IMPS,Kochi,1,1192.98,0,0.0,0.0,0,0,25.6
2026-02-01,IMPS,Kolkata,1,706.46,0,0.0,0.0,0,0,8.8
2026-02-01,Internet Banking,Ahmedabad,5,5768.49,0,0.0,0.0,0,0,37.68
2026-02-01,Internet Banking,Bengaluru,3,2652.73,0,0.0,0.0,0,0,27.7
2026-02-01,Internet Banking,Chennai,4,4990.52,0,0.0,0.0,0,0,38.6
2026-02-01,Internet Banking,Delhi,5,18635.73,0,0.0,0.0,0,0,26.04
2026-02-01,Internet Banking,Hyderabad,2,5290.04,0,0.0,0.0,0,0,31.8
2026-02-01,Internet Banking,Jaipur,3,2620.21,0,0.0,0.0,0,0,13.63
2026-02-01,Internet Banking,Kochi,4,11555.82,0,0.0,0.0,0,0,32.82
2026-02-01,Internet Banking,Kolkata,4,571081.11,1,565370.52,25.0,0,0,46.27
2026-02-01,Internet Banking,Mumbai,2,3089.9,0,0.0,0.0,0,1,39.75
2026-02-01,Internet Banking,Pune,4,5776.56,0,0.0,0.0,0,0,31.15
2026-02-01,Mobile Banking,Ahmedabad,6,27415.91,0,0.0,0.0,0,0,30.18
2026-02-01,Mobile Banking,Bengaluru,7,9868.52,0,0.0,0.0,0,0,20.29
2026-02-01,Mobile Banking,Chennai,6,535355.16,1,523754.91,16.667,0,2,40.97
2026-02-01,Mobile Banking,Delhi,7,469539.32,1,460262.71,14.286,0,2,41.04
2026-02-01,Mobile Banking,Hyderabad,8,10732.47,0,0.0,0.0,0,0,26.36
2026-02-01,Mobile Banking,Jaipur,3,4547.46,0,0.0,0.0,0,0,35.5
2026-02-01,Mobile Banking,Kochi,3,4793.74,0,0.0,0.0,0,0,11.23
2026-02-01,Mobile Banking,Kolkata,5,16708.05,0,0.0,0.0,0,0,28.24
