merchant_id,merchant_name,merchant_category,city,state,latitude,longitude,merchant_risk_band,active_flag
MER00001,SYNTHETIC MERCHANT 00001,Grocery,Delhi,Delhi,28.45666,77.19917,Low,Y
MER00002,SYNTHETIC MERCHANT 00002,Healthcare,Bengaluru,Karnataka,12.9336,77.62531,Medium,Y
MER00003,SYNTHETIC MERCHANT 00003,Electronics,Hyderabad,Telangana,17.26945,78.61581,Low,Y
MER00004,SYNTHETIC MERCHANT 00004,Grocery,Bengaluru,Karnataka,12.99469,77.70874,Low,Y
MER00005,SYNTHETIC MERCHANT 00005,Grocery,Ahmedabad,Gujarat,23.19895,72.67416,Low,Y
MER00006,SYNTHETIC MERCHANT 00006,Jewellery,Delhi,Delhi,28.74629,77.05093,Low,Y
MER00007,SYNTHETIC MERCHANT 00007,E-commerce,Jaipur,Rajasthan,27.09592,75.66934,Low,Y
MER00008,SYNTHETIC MERCHANT 00008,Fuel,Delhi,Delhi,28.5836,77.38753,Low,Y
MER00009,SYNTHETIC MERCHANT 00009,Gaming,Pune,Maharashtra,18.34203,73.65931,High,Y
MER00010,SYNTHETIC MERCHANT 00010,Fuel,Ahmedabad,Gujarat,22.97145,72.62124,Low,N
MER00011,SYNTHETIC MERCHANT 00011,Healthcare,Jaipur,Rajasthan,26.82038,75.82673,Low,Y
MER00012,SYNTHETIC MERCHANT 00012,Grocery,Jaipur,Rajasthan,26.79134,75.84248,High,N
MER00013,SYNTHETIC MERCHANT 00013,Utilities,Delhi,Delhi,28.46322,77.09833,Low,Y
MER00014,SYNTHETIC MERCHANT 00014,Jewellery,Chennai,Tamil Nadu,12.98933,80.13832,Medium,Y
MER00015,SYNTHETIC MERCHANT 00015,Grocery,Chennai,Tamil Nadu,13.05855,80.26601,High,Y
MER00016,SYNTHETIC MERCHANT 00016,Travel,Kolkata,West Bengal,22.73989,88.29266,Medium,Y
MER00017,SYNTHETIC MERCHANT 00017,Healthcare,Delhi,Delhi,28.63461,77.04945,Low,Y
MER00018,SYNTHETIC MERCHANT 00018,Electronics,Jaipur,Rajasthan,26.93826,75.88571,Low,Y
MER00019,SYNTHETIC MERCHANT 00019,Electronics,Mumbai,Maharashtra,19.16766,72.89168,Low,Y
MER00020,SYNTHETIC MERCHANT 00020,Utilities,Kolkata,West Bengal,22.56713,88.30554,Low,Y
MER00021,SYNTHETIC MERCHANT 00021,Healthcare,Pune,Maharashtra,18.36053,74.0104,Low,Y
MER00022,SYNTHETIC MERCHANT 00022,Grocery,Delhi,Delhi,28.5924,77.01545,Low,N
MER00023,SYNTHETIC MERCHANT 00023,Gaming,Mumbai,Maharashtra,19.23207,72.95694,Low,Y
MER00024,SYNTHETIC MERCHANT 00024,Fuel,Hyderabad,Telangana,17.41423,78.68147,Low,Y
MER00025,SYNTHETIC MERCHANT 00025,Jewellery,Hyderabad,Telangana,17.31796,78.58413,Low,Y
MER00026,SYNTHETIC MERCHANT 00026,Travel,Ahmedabad,Gujarat,23.11306,72.70781,Low,Y
MER00027,SYNTHETIC MERCHANT 00027,E-commerce,Delhi,Delhi,28.61106,77.03987,Low,Y
MER00028,SYNTHETIC MERCHANT 00028,Jewellery,Ahmedabad,Gujarat,23.07491,72.45588,Low,Y
MER00029,SYNTHETIC MERCHANT 00029,Grocery,Mumbai,Maharashtra,18.99072,73.04552,Low,Y
MER00030,SYNTHETIC MERCHANT 00030,Electronics,Ahmedabad,Gujarat,23.14508,72.52786,Medium,N
MER00031,SYNTHETIC MERCHANT 00031,Electronics,Chennai,Tamil Nadu,13.00212,80.29425,Medium,Y
MER00032,SYNTHETIC MERCHANT 00032,Education,Bengaluru,Karnataka,13.12323,77.76299,Low,N
MER00033,SYNTHETIC MERCHANT 00033,Electronics,Kolkata,West Bengal,22.60281,88.40626,Low,Y
MER00034,SYNTHETIC MERCHANT 00034,E-commerce,Pune,Maharashtra,18.57011,73.70456,Low,N
MER00035,SYNTHETIC MERCHANT 00035,Grocery,Bengaluru,Karnataka,13.02016,77.58527,Low,Y
MER00036,SYNTHETIC MERCHANT 00036,Education,Delhi,Delhi,28.69203,77.28969,Low,Y
MER00037,SYNTHETIC MERCHANT 00037,Jewellery,Kochi,Kerala,10.03261,76.38315,Medium,Y
MER00038,SYNTHETIC MERCHANT 00038,Education,Chennai,Tamil Nadu,13.05687,80.45128,Low,Y
MER00039,SYNTHETIC MERCHANT 00039,Healthcare,Ahmedabad,Gujarat,22.94027,72.44558,High,Y
MER00040,SYNTHETIC MERCHANT 00040,Gaming,Mumbai,Maharashtra,19.02063,72.71167,Medium,Y
MER00041,SYNTHETIC MERCHANT 00041,Restaurants,Kolkata,West Bengal,22.56634,88.55868,Low,Y
MER00042,SYNTHETIC MERCHANT 00042,Fuel,Mumbai,Maharashtra,19.16774,72.9361,Low,Y
MER00043,SYNTHETIC MERCHANT 00043,Grocery,Mumbai,Maharashtra,18.90462,73.03141,Medium,Y
MER00044,SYNTHETIC MERCHANT 00044,Grocery,Chennai,Tamil Nadu,13.02235,80.32236,Low,N
MER00045,SYNTHETIC MERCHANT 00045,Jewellery,Mumbai,Maharashtra,18.90486,72.77964,Low,N
MER00046,SYNTHETIC MERCHANT 00046,Healthcare,Kolkata,West Bengal,22.58026,88.16612,Low,Y
MER00047,SYNTHETIC MERCHANT 00047,Grocery,Chennai,Tamil Nadu,12.8917,80.35598,Low,Y
MER00048,SYNTHETIC MERCHANT 00048,Jewellery,Chennai,Tamil Nadu,13.06748,80.28207,Low,N
MER00049,SYNTHETIC MERCHANT 00049,Electronics,Kolkata,West Bengal,22.51711,88.17147,High,Y
MER00050,SYNTHETIC MERCHANT 00050,Restaurants,Chennai,Tamil Nadu,13.0527,80.1972,Low,Y
MER00051,SYNTHETIC MERCHANT 00051,Utilities,Delhi,Delhi,28.42971,77.19721,Low,Y
MER00052,SYNTHETIC MERCHANT 00052,Utilities,Hyderabad,Telangana,17.22984,78.55374,Low,N
MER00053,SYNTHETIC MERCHANT 00053,Electronics,Kolkata,West Bengal,22.64511,88.31305,Low,Y
MER00054,SYNTHETIC MERCHANT 00054,Jewellery,Kolkata,West Bengal,22.50456,88.1729,Low,Y
MER00055,SYNTHETIC MERCHANT 00055,E-commerce,Mumbai,Maharashtra,19.22321,73.04957,Low,N
MER00056,SYNTHETIC MERCHANT 00056,Fuel,Chennai,Tamil Nadu,13.13548,80.34421,Low,N
MER00057,SYNTHETIC MERCHANT 00057,Travel,Pune,Maharashtra,18.64782,73.98996,Low,Y
MER00058,SYNTHETIC MERCHANT 00058,Electronics,Delhi,Delhi,28.69414,77.05766,Low,N
MER00059,SYNTHETIC MERCHANT 00059,Electronics,Mumbai,Maharashtra,19.02089,73.06306,Low,Y
MER00060,SYNTHETIC MERCHANT 00060,Healthcare,Chennai,Tamil Nadu,13.03459,80.23847,Low,Y
MER00061,SYNTHETIC MERCHANT 00061,Gaming,Chennai,Tamil Nadu,13.00602,80.44729,Low,Y
MER00062,SYNTHETIC MERCHANT 00062,Fuel,Jaipur,Rajasthan,27.05912,75.92977,Low,N
MER00063,SYNTHETIC MERCHANT 00063,Healthcare,Bengaluru,Karnataka,13.14829,77.66774,Low,N
MER00064,SYNTHETIC MERCHANT 00064,Electronics,Kochi,Kerala,10.04366,76.25032,Low,Y
MER00065,SYNTHETIC MERCHANT 00065,Healthcare,Chennai,Tamil Nadu,13.27126,80.4345,Low,Y
MER00066,SYNTHETIC MERCHANT 00066,Grocery,Mumbai,Maharashtra,19.10577,72.80151,Low,Y
MER00067,SYNTHETIC MERCHANT 00067,Travel,Pune,Maharashtra,18.67319,73.97492,Low,Y
MER00068,SYNTHETIC MERCHANT 00068,Utilities,Jaipur,Rajasthan,26.91013,75.59461,Medium,Y
MER00069,SYNTHETIC MERCHANT 00069,Restaurants,Ahmedabad,Gujarat,23.08893,72.64083,Low,Y
MER00070,SYNTHETIC MERCHANT 00070,E-commerce,Kochi,Kerala,10.10129,76.24841,Low,Y
MER00071,SYNTHETIC MERCHANT 00071,Electronics,Chennai,Tamil Nadu,13.02294,80.29586,Medium,N
MER00072,SYNTHETIC MERCHANT 00072,Restaurants,Hyderabad,Telangana,17.23572,78.50199,Low,N
MER00073,SYNTHETIC MERCHANT 00073,E-commerce,Pune,Maharashtra,18.49341,73.93438,Low,Y
