transaction_id,transaction_ts,customer_id,account_id,channel,transaction_type,amount_inr,currency,merchant_id,merchant_category,city,state,latitude,longitude,device_id,device_trust_status,ip_address,txn_count_1h,unusual_hour_flag,distance_from_home_km,amount_deviation_score,fraud_risk_score,decision,transaction_status,is_fraud,fraud_type,rrn
TXN000023030,2026-02-01 00:01:25,CUST001727,ACC00001727,UPI,Debit,572.92,INR,MER00016,Travel,Delhi,Delhi,28.63549,77.23361,DEV00172701,New,172.30.92.71,3,1,0,3.446,67.4,CHALLENGE,SUCCESS,0,NONE,RRN58120067274
TXN000004360,2026-02-01 00:14:46,CUST000278,ACC00000278,NEFT,Debit,2934.99,INR,MER00272,Restaurants,Ahmedabad,Gujarat,23.0406,72.55961,DEV00027803,Known,172.110.17.222,3,1,0,0.663,38.5,APPROVE,SUCCESS,0,NONE,RRN55009779680
TXN000036649,2026-02-01 00:19:01,CUST000109,ACC00000109,Mobile Banking,Debit,2213.95,INR,MER00246,Utilities,Chennai,Tamil Nadu,13.11212,80.28951,DEV00010902,New,172.149.146.22,3,1,0,2.835,67.6,CHALLENGE,SUCCESS,0,NONE,RRN47967408269
TXN000043163,2026-02-01 00:25:36,CUST001727,ACC00001727,Mobile Banking,Debit,1779.93,INR,MER00451,Electronics,Delhi,Delhi,28.63552,77.233,DEV00172701,New,172.163.172.83,2,1,0,10.704,68.9,CHALLENGE,SUCCESS,0,NONE,RRN65351229236
TXN000014638,2026-02-01 00:26:54,CUST000964,ACC00000964,Mobile Banking,Debit,837.87,INR,MER00037,Jewellery,Jaipur,Rajasthan,26.91226,75.79409,DEV00096401,New,172.138.58.14,3,1,0,0.29,56.4,APPROVE,SUCCESS,0,NONE,RRN46264913441
TXN000030629,2026-02-01 00:32:28,CUST001466,ACC00001466,IMPS,Debit,355226.25,INR,MER00113,Utilities,Jaipur,Rajasthan,26.90047,75.80907,DEV00146601,New,172.129.122.49,2,1,0,58.245,90.0,DECLINE,SUCCESS,1,MULE_TRANSFER,RRN15994535560
TXN000035889,2026-02-01 00:33:54,CUST001219,ACC00001219,ATM,Debit,7600.88,INR,CASH,Cash Withdrawal,Kochi,Kerala,9.94998,76.29328,DEV00121901,Trusted,172.139.143.69,0,1,0,1.63,38.8,APPROVE,SUCCESS,0,NONE,RRN72704786505
TXN000033317,2026-02-01 00:34:19,CUST000102,ACC00000102,Branch,Debit,1043.82,INR,MER00407,Utilities,Bengaluru,Karnataka,12.9976,77.59851,DEV00010201,Known,172.67.133.190,3,1,0,0.084,35.0,APPROVE,SUCCESS,0,NONE,RRN82802286734
TXN000006949,2026-02-01 00:42:07,CUST001527,ACC00001527,NEFT,Debit,3378.05,INR,MER00491,Fuel,Ahmedabad,Gujarat,23.03615,72.56498,DEV00152701,Trusted,172.199.27.72,0,1,0,0.618,34.5,APPROVE,SUCCESS,0,NONE,RRN45681828299
TXN000029335,2026-02-01 00:44:53,CUST000400,ACC00000400,Mobile Banking,Debit,237.35,INR,MER00460,Fuel,Bengaluru,Karnataka,12.98274,77.56532,DEV00040001,Trusted,172.85.117.217,3,1,0,0.196,32.8,APPROVE,SUCCESS,0,NONE,RRN32783736788
TXN000002440,2026-02-01 00:55:51,CUST001179,ACC00001179,POS,Debit,282.1,INR,MER00187,Grocery,Bengaluru,Karnataka,12.94718,77.56911,DEV00117901,Trusted,172.190.9.124,4,1,0,0.357,39.3,APPROVE,SUCCESS,0,NONE,RRN74229104081
TXN000042066,2026-02-01 00:58:10,CUST001378,ACC00001378,UPI,Debit,869.84,INR,MER00274,Electronics,Chennai,Tamil Nadu,13.07782,80.27022,DEV00137802,New,172.66.168.91,3,1,0,0.128,52.9,APPROVE,SUCCESS,0,NONE,RRN81778701959
